Lux,Temp-degree,Particles2.5,Particles10
NaN,NaN,NaN,NaN
1041.8904,22.838888,2.5694444,0.42222223
1414.3104,24.038889,4.9805555,1.4944445
4940.4336,24.913649,5.1142063,1.3871866
5706.283,24.686111,3.8611112,1.0444444
967.6727,25.527027,3.463889,0.8333333
492.01236,25,2.7938719,0.6545961
197.77647,25,2.9555554,0.68333334
13.979285,25,2.5722222,0.46388888
1,25,2.4094708,0.5821727
1,24.456825,2.3805556,0.41111112
1,24,2.1444445,0.45
1,24,2.281337,0.41225627
1,24,2.3916667,0.28333333
1,23.355556,2.2222223,0.4722222
1,23,2.0336134,0.3697479
1,23,2.0694444,0.32222223
1,23,2.0333333,0.32222223
7.0474,23,1.3777778,0.1388889
48.874477,23,1.5988858,0.3231198
227.31387,23,1.9472222,0.34444445
309.98596,23.905556,1.6444445,0.27222222
283.9227,25.01389,1.3426183,0.2339833
321.9587,26,1.3722222,0.16666667
1022.19794,26.827778,1.2944444,0.22222222
1368.033,27,1.2172701,0.15041783
1804.8651,27,2.0666666,0.325
1692.8058,27.233334,5.95,1.1611111
5028.8423,28,6.091922,1.1559888
1444.4756,28,4.0666666,0.6888889
670.32794,27.26111,3.6555555,0.70555556
212.24464,27,3.5208914,0.44568247
10.553594,27,3.6555555,0.50555557
1,27,3.6666667,0.57222223
1,26.952646,3.1476324,0.59052926
1,26,3.0722222,0.35555556
1,26,2.838889,0.45555556
1,26,2.632312,0.5125348
1,25.441668,2.75,0.45
1,25,2.586111,0.2888889
1,25,2.5877438,0.45961002
1,25,2.5539773,0.42045453
16.516125,25,2.8055556,0.61944443
109.27092,25,2.3788302,0.26183844
338.6604,25.607243,2.0277777,0.3888889
248.5759,26,2.2777777,0.37222221
286.96414,26.555555,2.1309192,0.36768803
552.36487,27,2.2055554,0.45555556
646.22015,27,3.4388888,0.8194444
725.4774,27,3.2200558,0.6963788
720.1558,27.930555,2.875,0.58055556
357.34366,27.975758,4.2,0.7777778
300.64047,28.444445,3.5238094,0.6386555
203.26067,28.316668,2.7827299,0.545961
161.91605,27.75284,2.6083333,0.5888889
66.80495,27,3.1472223,0.64444447
9.466361,26.139277,2.6768801,0.4958217
1,23.535612,2.3222222,0.3361111
1,22.783333,2.5916667,0.36666667
1,22,2.7548747,0.40947077
1,21.941668,2.488889,0.40833333
1,20.891365,2.6305556,0.31666666
1,20.016666,2.0696378,0.3119777
1,19.147223,2.15,0.41111112
1,19,2.4222221,0.3888889
1,18.902779,2.2506964,0.362117
7.5975814,18.26389,1.9194444,0.29444444
58.093273,19.582172,1.9527777,0.35
120.94523,21.547222,1.9388889,0.2888889
185.09244,22.25,2.0362117,0.3454039
242.69002,23.874651,1.3777778,0.16666667
1202.1782,24.972221,2.8444445,0.9916667
943.16504,25.575,2.643454,0.96657383
1132.0328,26.662952,2.0972223,0.51666665
1822.5809,27,1.8527777,0.44444445
476.23495,27.05,1.4289694,0.3119777
495.85764,27,1.2444445,0.31666666
302.09134,27,0.99722224,0.21666667
134.73683,26.519444,1.097493,0.15041783
64.71125,26,0.85,0.16666667
7.7766194,24.975,0.75277776,0.15555556
1,23.607243,0.6963788,0.10584958
1,23,0.6166667,0.083333336
1,22.341667,0.94722223,0.21111111
1,22,1.0222842,0.20612814
1,21.072222,0.93333334,0.21666667
1,21,0.90555555,0.12777779
1,21,0.88022286,0.13370474
1,20.533333,0.8333333,0.12777779
1,18.813889,0.6611111,0.11111111
12.122046,18,0.8579387,0.1281337
97.55129,18.541666,0.8666667,0.17222223
251.81332,19.908333,0.65555555,0.08888889
440.67862,20.774374,0.8833333,0.14444445
751.38947,22.447222,0.62952644,0.10027855
965.3666,23.36389,0.8333333,0.08888889
966.22156,24.740948,0.5777778,0.07777778
813.1073,25.791666,0.52924794,0.06685237
1172.0411,26.225,0.95543176,0.17270195
45163.82,26.844011,0.17760618,0.038610037
495.85764,27.022223,3.427928,0.7117117
302.09134,26.927778,2.4555554,0.4
134.73683,26.481894,2.2228413,0.41225627
64.71125,25.422222,3.1694446,0.41111112
7.7766194,24.45961,3.5083334,0.625
1,23.397223,4.518106,0.6183844
1,22.291666,5.175,0.7027778
1,21.328691,5.1337047,0.5682451
1,20.658333,5.052778,0.825
1,19.922222,5.025,0.5
1,19,4.8830085,0.5125348
1,18.25,4.8333335,0.5277778
2.705686,17.644444,4.7555556,0.6388889
154.05032,17,4.172702,0.44568247
606.4845,17,3.963889,0.27222222
5133.9214,17.925,4.6573815,0.5738162
13447.349,19.977716,5.4694443,0.63055557
18127.162,21.544445,5.913889,0.5
15542.055,22.680555,5.8440113,0.6518106
2184.0251,23.610027,6.211111,0.7222222
1327.6805,24.122223,6.0944443,0.68333334
1045.1832,24.786112,5.8022285,0.94986075
828.75586,25.4039,5.486111,0.43333334
540.3565,25.358334,5.1555557,0.74444443
411.66,26.086111,5.395543,0.66852367
289.9986,26,5.147222,0.46666667
271.11026,25.330555,6.401114,0.6908078
59.42325,24.430555,5.552778,0.59444445
1.2132629,23,5.361111,0.61944443
1,22.061111,5.6740947,0.718663
1,21.38889,6.311111,0.76666665
1,20.504179,5.4305553,0.49166667
1,19.461111,5.6350975,0.59052926
1,18.95,5.477778,0.50277776
1,18,5.4707522,0.60167134
1,17.805555,5.8194447,0.64444447
1.3955373,17,6.9052925,0.82451254
32.235123,17,7.1277776,0.7722222
151.40164,17,7.6055555,0.73333335
336.11304,18.26389,6.29805,0.545961
547.79785,20.083565,4.9722223,0.41111112
756.51636,21.897223,3.8111112,0.48333332
1218.831,24.277779,3.534819,0.3955432
700.062,25.543175,2.7027779,0.2888889
610.1461,26.219444,2.9498608,0.3119777
470.53366,26.883333,3.2777777,0.3611111
400.01578,27.21727,3.0848484,0.36363637
395.37537,27.544445,3.4802868,0.26523298
265.62604,27.552778,5.4707522,0.6183844
197.10106,27.119778,5.8194447,0.7027778
96.21924,26.822222,6.9052925,0.5682451
7.4769845,26,7.1277776,0.825
1,25.433332,7.6055555,0.5
0,24.780556,6.29805,0.5125348
0,23.685236,4.9722223,0.5277778
0,22.733334,3.8111112,0.6388889
0,21.697222,3.534819,0.44568247
0,21,2.7027779,0.27222222
0,20.13611,2.9498608,0.5738162
0,19.605556,3.2777777,0.63055557
3.2392318,18.969358,3.0848484,0.5
199.77173,18.008333,3.4802868,0.6518106
1482.0569,17.813889,2.9498608,0.7222222
1008.17365,19.629526,3.2777777,0.68333334
929.51135,22.397223,3.0848484,0.94986075
1040.7208,24.51111,3.4802868,0.43333334
736.4292,26.038998,3.0848484,0.74444443
648.48413,27.786112,3.4802868,0.66852367